PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Mag_X,Mag_Y,Mag_Z,Status
150,233755940,0.999953675542290,-0.008532,-0.003935,0.002088,0.100803,0.057464,0.136154,-0.279785,-0.312256,-0.852051,0
151,233772607,0.999962354534517,-0.007752,-0.003444,0.001824,0.104346,0.048096,0.141931,-0.286865,-0.297363,-0.852539,0
152,233789274,0.999977333695853,-0.005937,-0.002960,0.001152,0.111080,0.045609,0.148717,-0.295166,-0.282959,-0.857178,0
153,233805941,0.999974655333970,-0.006758,-0.002185,0.000494,0.111076,0.054065,0.153205,-0.299072,-0.270508,-0.857178,0
154,233822608,0.999966681006887,-0.008122,-0.000817,-0.000041,0.107106,0.047811,0.158434,-0.303711,-0.257812,-0.859619,0
155,233839275,0.999971692992745,-0.007522,-0.000186,-0.000047,0.111770,0.027652,0.149874,-0.304688,-0.241943,-0.857666,0
156,233855942,0.999984358060871,-0.005515,0.000920,0.000153,0.114787,0.010263,0.144172,-0.301758,-0.230957,-0.860107,0
157,233872609,0.999990061318890,-0.003784,0.002321,0.000409,0.110485,0.002592,0.142416,-0.300049,-0.219238,-0.857666,0
158,233889276,0.999989649857099,-0.002933,0.003391,0.000773,0.102990,-0.000229,0.142923,-0.294678,-0.213867,-0.865234,0
159,233905943,0.999988180927362,-0.002695,0.003867,0.001193,0.096370,-0.003131,0.144115,-0.285889,-0.209961,-0.860596,0
160,233922610,0.999988344055523,-0.002346,0.003911,0.001585,0.094575,-0.002327,0.141492,-0.282471,-0.201416,-0.864746,0
161,233939277,0.999986235612588,-0.002416,0.004231,0.001947,0.094144,-0.004740,0.143041,-0.273193,-0.198730,-0.868652,0
162,233955944,0.999986344436593,-0.001185,0.004475,0.002426,0.095538,-0.019600,0.148408,-0.261475,-0.192139,-0.867676,0
163,233972611,0.999988240276805,0.000040,0.003982,0.002768,0.102548,-0.032702,0.145362,-0.255127,-0.190430,-0.869629,0
164,233989278,0.999979749282401,0.003066,0.004554,0.003219,0.104447,-0.043118,0.146047,-0.248047,-0.194824,-0.870117,0
165,234005945,0.999959901635001,0.006538,0.004971,0.003569,0.095866,-0.043073,0.159314,-0.237305,-0.206787,-0.871094,0
166,234022612,0.999947745928374,0.008227,0.004596,0.003963,0.099672,-0.045548,0.162241,-0.231201,-0.221191,-0.870605,0
167,234039279,0.999927628889818,0.009817,0.005305,0.004498,0.106299,-0.039372,0.161341,-0.218994,-0.238525,-0.872559,0
168,234055946,0.999867798859830,0.013967,0.006523,0.005173,0.104535,-0.060622,0.164222,-0.209473,-0.263184,-0.872070,0
169,234072613,0.999797774844584,0.017671,0.007131,0.006425,0.118110,-0.045174,0.158280,-0.193115,-0.294922,-0.868896,0
170,234089280,0.999706000575117,0.021123,0.008890,0.007917,0.122172,-0.017098,0.137235,-0.180664,-0.331055,-0.863281,0
171,234105947,0.999656694444395,0.022110,0.011309,0.008350,0.093026,-0.006455,0.152712,-0.157227,-0.375488,-0.856201,0
172,234122614,0.999668976448110,0.021860,0.010291,0.008841,0.082446,0.009522,0.143429,-0.141846,-0.418457,-0.849121,0
173,234139281,0.999686587429807,0.020788,0.010351,0.009352,0.075318,0.033746,0.128431,-0.124756,-0.460449,-0.837646,0
174,234155948,0.999662832872503,0.021831,0.010374,0.009487,0.069520,0.023090,0.106184,-0.109863,-0.501953,-0.824707,0
175,234172615,0.999676441611432,0.021204,0.010248,0.009611,0.064668,0.054479,0.105043,-0.095703,-0.545410,-0.811035,0
176,234189282,0.999719578481286,0.019127,0.009572,0.010163,0.058423,0.078691,0.097146,-0.086182,-0.582520,-0.797607,0
177,234205949,0.999777635003828,0.016392,0.008482,0.010200,0.051468,0.098340,0.079837,-0.072266,-0.614014,-0.779541,0
